transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN_3213,124JS2LE,84.54,22396,2026-04-05 17:04:00
TXN_3436,WK49Q61K,43.65,35303,2026-03-03 00:26:00
TXN_2078,IVAOA34O,118.11,49830,2026-04-22 15:58:00
TXN_BAD_8186,INVALID_VIN,50,20000,2026-04-10 10:00:00
TXN_540,85ZXTBQI,56.52,36507,2026-02-08 10:22:00
TXN_3747,DIJ83DK2,100.46,35618,2026-04-18 23:54:00
TXN_3830,JRF8FOUC,53.84,22611,2026-04-02 15:21:00
TXN_1234,WC500HFF,104.87,15215,2026-04-12 19:20:00
TXN_3314,PDAL6NEB,88.16,37876,2026-02-25 20:41:00
TXN_2423,6QBH8T00,129.15,32637,2026-01-30 18:58:00
TXN_99,NFI5WWUH,36.98,31338,2026-02-17 14:49:00
TXN_3850,2VZNH6LW,27.03,13141,2026-04-12 08:53:00
TXN_795,R53KF3QC,51.83,47812,2026-01-19 01:14:00
TXN_2917,QSXY1IMU,22.74,32680,2026-04-02 06:17:00
TXN_4605,L78UEWVF,65.06,39816,2026-01-07 18:22:00
TXN_2310,JZS07SC3,22.65,15544,2026-04-06 20:03:00
TXN_2510,I9YROPVR,108.87,35724,2026-03-27 21:18:00
TXN_4074,8L5KR5AF,74.14,26195,2026-03-08 13:57:00
TXN_1159,TH4EVVFW,106.66,47602,2026-01-25 15:45:00
TXN_3936,K6Q0EPES,21.24,38167,2026-03-11 13:35:00
TXN_3642,4IZF65CM,120.8,18321,2026-04-13 23:30:00
TXN_494,QS2QZC1I,64.13,35099,2026-04-09 01:51:00
TXN_3069,ELT7XJMA,31.18,21118,2026-01-12 10:31:00
TXN_4739,3KQ3W3BO,24.37,30163,2026-02-21 08:47:00
TXN_2653,1QZQ45T8,134.99,20640,2026-01-27 23:25:00
TXN_3665,UMGZ6K95,103.36,38074,2026-03-03 01:40:00
TXN_1616,QVSJIQR2,26.01,23280,2026-02-06 05:06:00
TXN_2720,EFEYF6C7,72.59,20177,2026-02-14 22:48:00
TXN_4719,AH0GFNR9,113.37,32639,2026-04-26 11:41:00
TXN_629,HAH1297G,146.2,46903,2026-02-22 17:24:00
TXN_4284,2TJJ092L,73.7,31332,2026-01-22 16:43:00
TXN_2983,9GDQG5EL,87.37,29794,2026-03-16 13:53:00
TXN_2000,KQYIEAIO,81.46,20383,2026-04-22 02:19:00
TXN_1583,698DQPT1,141.25,41649,2026-02-14 12:52:00
TXN_3256,H44PBQF0,34.87,17877,2026-01-22 20:31:00
TXN_4469,RM805AJP,-10,29285,2026-02-06 17:02:00
TXN_3003,632M75CN,129.98,44811,2026-03-06 18:22:00
TXN_4312,ED6R6CYH,26.09,23062,2026-01-04 13:40:00
TXN_697,0691AW5O,67.86,19179,2026-01-06 01:38:00
TXN_1470,XZMELLTE,137.9,36584,2026-03-04 16:40:00
TXN_1204,Y5ORCNO0,82.16,21618,2026-03-28 19:11:00
TXN_4442,VJZ80QU1,45.36,26996,2026-03-26 08:41:00
TXN_2805,VW01HKLE,61.95,27477,2026-04-12 04:38:00
TXN_2204,8LX6JEKE,25.23,40222,2026-02-25 15:05:00
