transaction_id,vin,fuel_liters,odometer_reading,timestamp
TXN_3211,EB39UDSI,63.75,43983,2026-04-16 03:32:00
TXN_273,03H9S8NW,97.27,17002,2026-02-27 02:38:00
TXN_4976,3Z035CTC,62.08,27822,2026-01-07 02:35:00
TXN_4998,481RPIGI,83.58,18693,2026-03-03 18:07:00
TXN_3507,R434H7XC,51.32,44283,2026-03-10 19:48:00
TXN_2330,GAH06PG1,54.67,10565,2026-02-27 01:47:00
TXN_101,U3SXF42A,61.05,15933,2026-03-04 22:26:00
TXN_4866,CD526RTH,44.99,33191,2026-02-24 17:40:00
TXN_4984,ZD58QC1T,40.03,19591,2026-01-22 15:16:00
TXN_3410,CNC8WDY2,70.41,11216,2026-04-06 07:09:00
TXN_981,QJKQ5949,12.44,23356,2026-02-06 06:53:00
TXN_4985,CIDHOAHX,85.75,36998,2026-02-18 01:43:00
TXN_46,C3H59FWG,24.05,31294,2026-04-22 21:27:00
TXN_161,GWPLF3BG,18.37,26507,2026-03-11 08:52:00
TXN_1123,JTLV3DUQ,41.06,37643,2026-02-26 22:35:00
TXN_1048,13LUI17N,21.26,43576,2026-03-24 08:27:00
TXN_1746,UKOKZNQA,97.77,21333,2026-03-13 13:18:00
TXN_684,8FWKXDBL,94.94,34734,2026-01-11 17:28:00
TXN_2169,42ZTDJ9D,27.09,36815,2026-04-02 20:06:00
TXN_433,ZISVM4AC,65.04,43216,2026-03-13 05:26:00
TXN_3914,73CTFE25,40.34,47248,2026-02-25 09:21:00
TXN_3498,FDVFHIAX,66.89,15317,2026-02-13 20:29:00
TXN_3654,MS7QLVYY,35.45,27287,2026-03-06 17:36:00
TXN_4370,0AE90KL8,89.21,10778,2026-03-10 06:28:00
TXN_223,NZQVLOY0,41.44,47795,2026-01-04 19:55:00
TXN_3120,H462PA5Z,36.98,47084,2026-04-07 00:13:00
TXN_1388,31O98ZCB,57.71,12717,2026-01-28 04:59:00
TXN_2992,YVAZMHIY,40.48,33001,2026-04-02 14:44:00
TXN_3983,DZ2EZ04E,27.58,13864,2026-04-03 11:42:00
TXN_420,QB94R24O,58.95,13247,2026-03-23 19:54:00
TXN_529,HHQZDR76,46.83,34905,2026-03-17 04:04:00
TXN_2220,HTZO3LY2,19.47,22387,2026-03-15 02:44:00
TXN_485,KZQAX59Y,107.65,30041,2026-01-03 11:59:00
TXN_4890,D0QDW703,52.38,14423,2026-04-16 16:07:00
TXN_3285,VOEIP25B,80.53,32097,2026-01-03 01:00:00
TXN_932,T44J05RB,53.35,32933,2026-02-28 08:32:00
