vin,service_date,service_type
2GEFC7L5,2026-03-28,Brake Inspection
8YVQC8LC,2026-10-10,Battery Replacement
TY7GRE9M,INVALID_DATE,Brake Inspection
VSGJSURF,2026-12-04,Full Service
KZ2K52E9,2026-11-20,Oil Change
Z5R8YKZJ,2026-04-09,Engine Overhaul
4JQV071C,2026-10-01,Engine Overhaul
61ZKDAD9,2026-03-13,Brake Inspection
Z30V5ZF7,2026-03-24,Battery Replacement
BJV06SFU,2026-06-10,Brake Inspection
M9GOIDU8,2026-10-04,Oil Change
A2K3V6OP,2026-04-09,Oil Change
4INZ15F6,2026-04-26,Engine Overhaul
V22ZU3KO,2026-09-17,Brake Inspection
OBRMPQON,2026-02-27,Oil Change
LGI2DYC3,2026-05-10,Battery Replacement
CA1HM7PC,2026-08-10,Engine Overhaul
5WHXG543,2026-11-14,Tire Rotation
YSFPBTYD,2026-06-04,Oil Change
TZB9CH4M,2026-10-13,Engine Overhaul
YGA3NRX4,2026-08-27,Tire Rotation
A2K3V6OP,2026-01-27,Full Service
S3650QBP,2026-11-23,Brake Inspection
IHAY5UNQ,2026-02-15,Oil Change
I9UVBUDM,2026-02-22,Oil Change
KI6BZ8IU,2026-04-28,Battery Replacement
MB3FQ8PJ,2026-11-17,Tire Rotation
XDIVOGRX,2026-06-10,Tire Rotation
HJ4FOQAJ,2026-12-19,Battery Replacement
5CT97980,2026-08-15,Brake Inspection
JOR9F2Z9,2026-10-26,Tire Rotation
X5RUGEYH,2026-02-12,Oil Change
LB4WC6XN,2026-05-31,Engine Overhaul
RVUNKB7D,2026-08-30,Full Service
D7F3Q7C8,2026-09-13,Full Service
WIS4UUSI,2026-06-05,Tire Rotation
DL0JTIZP,2026-01-05,Battery Replacement
261RYWL5,2026-01-06,Brake Inspection
ZZBZAMWO,2026-10-09,Battery Replacement
NGU3VBNZ,2026-04-07,Battery Replacement
SO3DL5ZN,2026-10-03,Oil Change
P8R8OI84,2026-11-25,Engine Overhaul
4UP1KM3Z,2026-01-09,Oil Change
OEM72C3K,2026-08-04,Oil Change
Z30V5ZF7,2026-09-12,Oil Change
BJ68DH2E,2026-06-20,Tire Rotation
03L0YGCZ,2026-10-31,Brake Inspection
TSZ6LBRS,2026-05-20,Engine Overhaul
FF8WAG1E,2026-12-26,Full Service
FMTA7CVU,2026-11-09,Tire Rotation
L8BSLIFP,2026-03-30,Oil Change
HJ4FOQAJ,2026-02-27,Engine Overhaul
AQF30QOC,2026-06-17,Oil Change
FLTP6UAF,2026-06-09,Tire Rotation
KTDMIIWO,2026-03-10,Engine Overhaul
RE2C55XG,2026-04-28,Tire Rotation
SO3DL5ZN,2026-06-19,Engine Overhaul
M3ZQ7LDC,2026-06-10,Tire Rotation
IDP9TRRG,2026-09-09,Engine Overhaul
8F3TWL4O,2026-02-08,Brake Inspection
6SUZDKJA,2026-05-06,Battery Replacement
KTYMMAZI,2026-09-25,Full Service
XR625PAP,2026-09-01,Oil Change
BC0CORQ0,2026-03-25,Battery Replacement
A4XM6PCX,2026-04-11,Brake Inspection
YGA3NRX4,2026-01-28,Oil Change
TUINFTUF,2026-07-06,Brake Inspection
A2EK6NA0,2026-12-16,Battery Replacement
COGRBL9O,2026-11-23,Battery Replacement
UI4GCQ25,2026-04-23,Full Service
E9EGUS32,2026-12-31,Oil Change
2H1ATTQJ,2026-12-27,Full Service
WPH6BW7M,2026-05-26,Engine Overhaul
SIZL85VN,2026-08-25,Oil Change
NGU3VBNZ,2026-11-14,Tire Rotation
XW5URSYK,2026-06-17,Tire Rotation
