vin,model,mfg_year,fuel_type
SBKF215W,Ashok Leyland Dost,2018,CNG
0Y8EWZ9I,Tata Ultra,2019,CNG
SJU54RVN,Isuzu N-Series,2024,Diesel
UAPK1EAT,Volvo VNL,2008,Diesel
0GYKOILA,Isuzu N-Series,2014,Electric
DAVPH3LG,Freightliner M2,2010,Electric
37S8UZKV,Volvo VNL,2005,LNG
1CSTS4OY,Tata Ultra,2011,LNG
RHWJ3OXB,Ashok Leyland Dost,2014,Electric
ZAGM3SR7,Tata Ultra,2014,Electric
2B2ETA8Q,Freightliner M2,2008,CNG
FR6VSCV5,Volvo VNL,2016,Electric
KBKO2BH6,Volvo VNL,2020,CNG
EL85EZ9H,Tata Ultra,2022,CNG
O5Y5D3PU,Freightliner M2,2012,CNG
XJS1W229,Isuzu N-Series,2007,CNG
PKORVB3G,Ashok Leyland Dost,2021,CNG
1AHYITIU,Freightliner M2,2024,CNG
0OL578VH,Ashok Leyland Dost,2012,Electric
ZCHBJPQW,Tata Ultra,2007,LNG
GAWC18D0,Tata Ultra,2024,Diesel
UN1COZWM,Isuzu N-Series,2019,Diesel
9DP69LGK,Volvo VNL,2018,CNG
RP2585EK,Tata Ultra,2009,LNG
MOIDH779,Tata Ultra,2010,LNG
I9285A19,Ashok Leyland Dost,2005,CNG
7QC2NYV4,Freightliner M2,2015,CNG
ONX15L84,Isuzu N-Series,2017,LNG
YZQADWTN,Isuzu N-Series,2014,LNG
DMQOHBM8,Ashok Leyland Dost,2006,LNG
RHRQE8KW,Tata Ultra,2006,Electric
EK1RR8Y4,Freightliner M2,2025,Diesel
A6Z4U8U7,Tata Ultra,2015,Diesel
OZFJI0KG,Volvo VNL,2021,CNG
ZGUJU3T9,Tata Ultra,2015,Electric
D670TPXJ,Freightliner M2,2011,Diesel
UY5OXWZW,Freightliner M2,2023,CNG
YEAU9FEX,Ashok Leyland Dost,2019,CNG
HK4F16VY,Freightliner M2,2008,Electric
3Q41NAVP,Volvo VNL,2021,Diesel
X6CYX6CF,Ashok Leyland Dost,2013,Electric
ITS8NBAU,Freightliner M2,2019,Diesel
6J50WDJJ,Freightliner M2,2013,CNG
5I4EY8WQ,Freightliner M2,2020,LNG
LITP9XBM,Ashok Leyland Dost,2015,Electric
DHDM8FYF,Ashok Leyland Dost,2016,Electric
YUBAE8AS,Tata Ultra,2024,Electric
ZEHGZN5F,Tata Ultra,2014,LNG
GUGZ07RB,Isuzu N-Series,2014,Diesel
T06U0L78,Isuzu N-Series,2021,LNG
PD2KVEW2,Volvo VNL,2016,LNG
WQ91811K,Volvo VNL,2018,Diesel
6UOA0IU6,Volvo VNL,2019,Electric
OUJXH7P4,Volvo VNL,2007,LNG
0VFGAE12,Isuzu N-Series,2025,Diesel
MLUZK2SJ,Volvo VNL,2008,Electric
H1KNX2RM,Volvo VNL,2013,Diesel
0DX33QLZ,Isuzu N-Series,2012,LNG
OB3BG16H,Volvo VNL,2024,LNG
25AXNNHC,Volvo VNL,2018,CNG
90D75SD1,Freightliner M2,2010,Diesel
M59AHCR8,Volvo VNL,2009,Electric
4COZ28ST,Tata Ultra,2020,LNG
T7IVWZCS,Tata Ultra,2017,CNG
FDK01PWM,Isuzu N-Series,2025,LNG
QCHU9VDF,Isuzu N-Series,2014,CNG
KK8ZW671,Freightliner M2,2007,LNG
YQ98NF9U,Ashok Leyland Dost,2006,Diesel
Y221QSZ0,Tata Ultra,2011,Diesel
Z3SKDM0P,Freightliner M2,2014,Diesel
PNNC9XX3,Freightliner M2,2022,Electric
U8X8F0JR,Freightliner M2,2005,Diesel
D30PL7IY,Isuzu N-Series,2021,Electric
8QDQL6PX,Volvo VNL,2014,LNG
CE1MD74N,Tata Ultra,2025,LNG
QH3GDGGM,Volvo VNL,2014,LNG
CHT9GB3M,Freightliner M2,2007,CNG
7YLO4WEL,Isuzu N-Series,2006,CNG
RXMPLFMC,Volvo VNL,2012,CNG
U0S80DGR,Volvo VNL,2014,CNG
LPB534ZQ,Ashok Leyland Dost,2020,Electric
TLUJ5U8R,Tata Ultra,2023,CNG
SO85OXFU,Ashok Leyland Dost,2008,Electric
LQSW64KQ,Ashok Leyland Dost,2010,CNG
HI5RNZCG,Tata Ultra,2018,Electric
AYOHXV36,Isuzu N-Series,2008,CNG
VH3YR5KF,Isuzu N-Series,2018,Electric
7UNBUK79,Tata Ultra,2023,Diesel
2QPMD7CD,Volvo VNL,2025,LNG
4SJUEOOW,Volvo VNL,2009,Electric
NUY9CS3E,Freightliner M2,2010,LNG
87PF9GQF,Volvo VNL,2015,Diesel
9028VSVI,Ashok Leyland Dost,2019,CNG
TSRE8N3H,Ashok Leyland Dost,2008,CNG
8N3G370K,Freightliner M2,2019,Diesel
03DJY38S,Freightliner M2,2010,Electric
53A88DY9,Tata Ultra,2016,Diesel
P2HVC8AL,Isuzu N-Series,2005,Electric
DFB0IOIG,Volvo VNL,2015,Diesel
Y3TQRWY9,Isuzu N-Series,2013,Electric
SYY60Z80,Freightliner M2,2017,Electric
G6JQKPIL,Ashok Leyland Dost,2014,Diesel
5GA0O3OU,Isuzu N-Series,2022,LNG
E06U5Q2V,Volvo VNL,2023,Diesel
AG2S8WGI,Volvo VNL,2023,LNG
QPND7KS1,Isuzu N-Series,2017,Diesel
2MQM8AS6,Freightliner M2,2010,Diesel
ZUYA3LDO,Volvo VNL,2015,LNG
BL9PVTBV,Isuzu N-Series,2015,LNG
0N3K5961,Isuzu N-Series,2021,CNG
4KX1OOI8,Isuzu N-Series,2015,LNG
YCMMT45Q,Isuzu N-Series,2024,CNG
4NZZ12GR,Isuzu N-Series,2008,Diesel
V7YA0W9C,Tata Ultra,2012,LNG
25AISHZD,Freightliner M2,2017,Diesel
3VNK4IY8,Volvo VNL,2020,Diesel
DL9V7PQO,Ashok Leyland Dost,2022,LNG
TYZE7C87,Freightliner M2,2006,Electric
4UTF7M6S,Volvo VNL,2022,LNG
2HLFNWYX,Freightliner M2,2023,LNG
4PMPFCG8,Tata Ultra,2009,Electric
YM2136NU,Tata Ultra,2008,CNG
JKFGVF4C,Isuzu N-Series,2024,CNG
95TMJQR6,Isuzu N-Series,2025,CNG
0I6J1ELM,Volvo VNL,2025,LNG
OPL4TYFR,Ashok Leyland Dost,2018,Electric
RJSC5O97,Freightliner M2,2021,LNG
A0SXA6CX,Volvo VNL,2018,Electric
7J6EIWDU,Isuzu N-Series,2024,Electric
QSN5QN6V,Ashok Leyland Dost,2006,Diesel
XDY6QC3R,Volvo VNL,2007,Diesel
FWZMMFBJ,Isuzu N-Series,2015,Diesel
PW0QTXYO,Volvo VNL,2015,LNG
01SCZAI1,Ashok Leyland Dost,2017,CNG
O3EGQGDO,Freightliner M2,2015,CNG
OW5NZCD4,Tata Ultra,2021,LNG
