vin,model,mfg_year,fuel_type
EDT868QK,Tata Ultra,2021,Diesel
FEHKNSFN,Freightliner M2,2021,Diesel
JNROFEOG,Tata Ultra,2013,CNG
S1B9UGVG,Freightliner M2,2017,Electric
38D1TZO6,Freightliner M2,2021,Electric
FC8P6RVY,Tata Ultra,2011,Diesel
UYQ9VRR2,Freightliner M2,2022,LNG
P4GCCRAA,Volvo VNL,2013,Electric
C1OEFZI0,Ashok Leyland Dost,2014,Diesel
ZI2C31F6,Isuzu N-Series,2007,Electric
5OH2CB3D,Ashok Leyland Dost,2015,Diesel
8TVKDVIM,Ashok Leyland Dost,2006,LNG
XBP697E2,Volvo VNL,2007,CNG
8WC92HJ9,Volvo VNL,2008,Diesel
QWA5CESV,Tata Ultra,2024,CNG
KXV4HNJ1,Freightliner M2,2014,Diesel
88HDHGB5,Freightliner M2,2023,CNG
XNVAZ2SF,Ashok Leyland Dost,2019,Diesel
X3WO4YG6,Ashok Leyland Dost,2008,LNG
TKG92HS7,Tata Ultra,2021,Diesel
K3S1F5H7,Isuzu N-Series,2013,CNG
18BKNP7I,Volvo VNL,2022,CNG
QALE0VSB,Volvo VNL,2025,LNG
K3VJ0VT8,Volvo VNL,2020,LNG
FOGTY0KN,Tata Ultra,2013,Electric
3AFOKNZ8,Tata Ultra,2007,LNG
5IQQD5RA,Ashok Leyland Dost,2012,Electric
P80VRSYC,Volvo VNL,2025,Electric
4C5UZQED,Freightliner M2,2005,LNG
SKRG8GWQ,Isuzu N-Series,2005,CNG
HLMCLS1E,Tata Ultra,2015,LNG
ZWIRV37E,Freightliner M2,2022,Electric
N06R95U7,Isuzu N-Series,2009,LNG
CSPIR8YA,Freightliner M2,2016,Electric
XKR1VNPB,Tata Ultra,2022,CNG
E84RHGNO,Volvo VNL,2011,LNG
0TD7FGMZ,Ashok Leyland Dost,2015,CNG
G2NT5ILN,Freightliner M2,2010,Diesel
WXIOZ4K2,Ashok Leyland Dost,2006,CNG
GGLZ4EXK,Ashok Leyland Dost,2021,LNG
2LU1DNBO,Ashok Leyland Dost,2018,CNG
FU1RE4H3,Tata Ultra,2022,Electric
EK3A5Y7C,Tata Ultra,2020,Electric
FXMUSVZD,Tata Ultra,2010,LNG
4VXYXBHI,Freightliner M2,2012,Electric
HFM880HS,Ashok Leyland Dost,2018,Electric
LAQ1RGJD,Freightliner M2,2018,Diesel
BHRF7SZE,Isuzu N-Series,2010,Electric
V4PBIFO7,Volvo VNL,2011,CNG
FV4N2EJS,Tata Ultra,2021,CNG
4QX8GHRD,Freightliner M2,2016,Diesel
XXQQB0QX,Isuzu N-Series,2017,Diesel
9ELN59MN,Isuzu N-Series,2009,CNG
21CIVD1D,Freightliner M2,2011,Electric
YBH9PH4X,Ashok Leyland Dost,2016,Diesel
6LEMVAQS,Tata Ultra,2025,Electric
52WJ2ICN,Tata Ultra,2008,LNG
R6L9JG2I,Isuzu N-Series,2005,LNG
5EV3DL3Q,Freightliner M2,2009,LNG
